vendor_name,delivery_time,quality_score,cost_efficiency,communication_rating,historical_performance
TechPro Solutions,8,9.2,85,8.7,88
GlobalSupply Co.,7,8.5,92,9.1,90
InnovateIT Services,9,9.5,78,9.3,87
FastTrack Logistics,6,8.8,88,8.9,89
QualityFirst Manufacturing,10,9.7,72,8.5,85
BudgetBuy Distributors,5,7.9,95,8.2,84
ReliableTech Systems,8,9.1,83,9.0,88
EcoFriendly Supplies,9,9.3,76,9.4,86
SpeedyShip Express,5,8.3,90,8.8,87
PrecisionParts Inc.,9,9.6,79,8.9,88
MegaCorp Vendors,7,8.7,87,8.6,86
SmartSource Solutions,8,9.0,84,9.2,89
GlobalGear Providers,6,8.6,89,8.7,87
InnovateSoft Technologies,10,9.4,75,9.5,88
EconomySupply Co.,4,7.7,96,8.0,82
PremiumParts Distributors,9,9.8,74,9.1,89
QuickShip Logistics,5,8.4,91,8.9,86
TechGenius Systems,8,9.3,82,9.3,90
EcoSmart Manufacturing,10,9.5,77,9.2,87
BargainBuy Supplies,4,7.8,97,8.1,83
